school,year,race,orientation,major,legacy,highschool,gender,geography,financialAid,athlete,affiliation,How do you view your intelligence compared with that of the average student who is studying the same subject as you are?,How do you view your intelligence compared with that of your average peer from your high school?,How do you view your intelligence compared with that of the average student on your campus?,What restaurant serves the best thai food in Hanover?,What restaurant serves the best pizza in Hanover?,What restaurant serves the best burger in Hanover?,Please select up to three of your favorite restaurants in Hanover. ,"Overall, what DDS location serves the best food?",What DDS location serves the best coffee?,What restaurant cuisine do you think is most missing from Hanover?\n,"During an average term, how often do you eat in a restaurant off-campus?",Which on-Campus dining plan do you think is the best?,"What advice, if any, would you give to other students about dining on or off campus?",What do you think is the best dish in Hanover?\n
Dartmouth,2018,asian,heterosexual/straight,Economics,no,public,woman,West,yes,none,none,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2020,asian,heterosexual/straight,"Political Science, Linguistics",no,public,woman,West,yes,club,none,Slightly lower,Much higher,Average,,,,,,,,,,,
Dartmouth,2018,white,heterosexual/straight,"Earth Sciences, Biological Sciences",no,public,man,Mid-Atlantic,no,none,fraternity,Much lower,Average,Much lower,,,,,,,,,,,
Dartmouth,2020,asian,heterosexual/straight,"Physics and Astronomy, Pre-Medical",no,private,woman,Midwest,no,none,none,Much lower,Much higher,Slightly lower,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,Engineering Sciences,no,private,woman,Mid-Atlantic,no,none,none,Average,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2019,two or more races,heterosexual/straight,Engineering Sciences,yes,private,woman,New England,no,club,sorority,Average,Slightly higher,Slightly higher,,,,,,,,,,,
Dartmouth,2020,white,other,Economics,no,public,woman,New England,no,none,fraternity,Slightly lower,Much higher,Slightly lower,,,,,,,,,,,
Dartmouth,2018,asian,heterosexual/straight,"Biological Sciences, Anthropology",yes,public,woman,West,no,none,sorority,Average,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2018,asian,heterosexual/straight,"Economics, Spanish and Portuguese",no,public,woman,South,yes,none,sorority,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,"English, Spanish and Portuguese",no,private,woman,Mid-Atlantic,no,none,none,Average,Slightly higher,Slightly higher,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,"Computer Science, Psychological and Brain Sciences",no,parochial,woman,West,no,none,none,Average,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2017,asian,heterosexual/straight,English,no,private,woman,International,yes,none,other,Average,Much higher,Average,,,,,,,,,,,
Dartmouth,2019,white,heterosexual/straight,History,no,private,man,Mid-Atlantic,no,club,none,Slightly higher,Slightly higher,Average,,,,,,,,,,,
Dartmouth,2017,white,questioning,"Biological Sciences, Cognitive Science",no,public,man,West,no,club,fraternity,Much higher,Much higher,Much higher,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,"Biological Sciences, Economics",no,public,woman,West,yes,none,none,Slightly lower,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2020,black or african-american,heterosexual/straight,Computer Science,no,private,man,International,yes,none,none,Average,Average,Average,,,,,,,,,,,
Dartmouth,2020,white,bisexual,"Classics, Political Science",no,private,woman,Non-Continental,no,none,none,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2017,white,heterosexual/straight,"Geography, French and Italian",no,private,woman,Mid-Atlantic,no,none,sorority,Much lower,Slightly higher,Slightly lower,,,,,,,,,,,
Dartmouth,2017,white,heterosexual/straight,"Studio Art, English",no,private,man,Mid-Atlantic,yes,club,fraternity,Much higher,Slightly higher,Slightly higher,,,,,,,,,,,
Dartmouth,2018,other,questioning,Physics and Astronomy,no,private,man,International,yes,none,none,Average,Average,Average,,,,,,,,,,,
Dartmouth,2019,white,heterosexual/straight,"English, Linguistics",no,public,woman,New England,yes,club,none,Much lower,Slightly higher,Slightly lower,,,,,,,,,,,
Dartmouth,2017,white,heterosexual/straight,Psychological and Brain Sciences,no,private,man,West,no,other,fraternity,Slightly higher,Much higher,Average,,,,,,,,,,,
Dartmouth,2020,asian,bisexual,"English, Economics",no,private,man,International,yes,none,coed,Average,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,"Engineering Sciences, Biological Sciences, Pre-Medical",no,private,man,International,yes,club,none,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2019,white,heterosexual/straight,Physics and Astronomy,no,public,woman,New England,yes,none,sorority,Slightly lower,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2019,white,heterosexual/straight,Computer Science,no,public,man,New England,yes,club,none,Slightly higher,Slightly higher,Slightly higher,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,"Political Science, Spanish and Portuguese",no,public,woman,Mid-Atlantic,no,varsity,none,Average,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2019,two or more races,heterosexual/straight,"Anthropology, Biological Sciences",no,public,woman,New England,no,none,none,Much lower,Average,Much lower,,,,,,,,,,,
Dartmouth,2019,white,heterosexual/straight,Cognitive Science,no,public,woman,New England,yes,none,none,Average,Slightly higher,Average,,,,,,,,,,,
Dartmouth,2019,asian,heterosexual/straight,"Studio Art, Engineering Sciences",no,public,man,Mid-Atlantic,yes,none,none,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2020,black or african-american,heterosexual/straight,"Philosophy, Political Science",no,public,man,Midwest,yes,none,none,Slightly lower,Slightly higher,Much lower,,,,,,,,,,,
Dartmouth,2017,white,heterosexual/straight,"Chemistry, Psychological and Brain Sciences",yes,parochial,woman,New England,no,none,none,Average,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2018,hispanic/latino,heterosexual/straight,Political Science,no,public,woman,West,yes,none,sorority,Slightly lower,Much higher,Much lower,,,,,,,,,,,
Dartmouth,2017,white,heterosexual/straight,"Computer Science, English",no,private,man,South,no,none,none,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,Computer Science,no,private,woman,New England,no,none,none,Average,Much higher,Average,,,,,,,,,,,
